#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         484     -8.000000e-02      1.400000e-01      1.474992e-02
         485      2.000000e-01      1.401237e-01      1.472003e-02
         486      1.600000e-01      1.401646e-01      1.468980e-02
         487      4.000000e-02      1.399589e-01      1.466108e-02
         488      0.000000e+00      1.396721e-01      1.463384e-02
         489      0.000000e+00      1.393865e-01      1.460670e-02
         490     -4.000000e-02      1.390204e-01      1.458148e-02
         491      0.000000e+00      1.387373e-01      1.455453e-02
         492     -4.000000e-02      1.383740e-01      1.452948e-02
         493      0.000000e+00      1.380933e-01      1.450272e-02
         494     -4.000000e-02      1.377328e-01      1.447784e-02
         495      0.000000e+00      1.374545e-01      1.445127e-02
         496     -8.000000e-02      1.370161e-01      1.442878e-02
         497     -8.000000e-02      1.365795e-01      1.440635e-02
         498     -1.600000e-01      1.359839e-01      1.438973e-02
